Randall Duk Kim
Kimberly J. Brown
Regina King
Chris Thomas King
Natalie Kingston
Alexander Kirkland
Shavon Kirksey
James Kirkwood, Sr.
Jeremy Kissner
Eartha Kitt
Kevin Kline
Evalyn Knapp
T. R. Knight
Wayne Knight
Don Knotts
Johnny Knoxville
David Koechner
Rachel Korine
Theodore Kosloff
Nancy Kovack
Jane Krakowski
Peter Krause
Ashton Kutcher
Kyle Stone
Lash La Rue
Adrienne La Russa
Lacey Chayenne
Lady Gaga
Bert Lahr
Arthur Lake
Florence Lake
Craig Lamar Traylor
Hedy Lamarr
Adam Lambert
Christopher Lambert
Lance Guest
Juliet Landau
Michael Landes
Forrest Landis
Allan Lane
Charles Lane
Nathan Lane
Priscilla Lane
Stephen Lang
Harry Langdon
Hope Lange
Jessica Lange
Linda Larkin
Larry Thomas
Keith Larsen
Eva LaRue
Sanaa Lathan
Queen Latifah
Laura Ramsey
Lauren Lane
Lauren-Marie Taylor
Piper Laurie
Florence Lawrence
Martin Lawrence
Priscilla Lawson
William Layton
Denis Leary
Rex Lease
Francis Lederer
Christopher Khayman Lee
Dorothy Lee
Frances Lee
Gwen Lee
Gypsy Rose Lee
Lila Lee
Rex Lee
Spike Lee
Andrea Leeds
Michael Lembeck
Tom Lenk
Sean Lennon
Al Leong
Lesley Fera
Zachary Levi
Ted Levine
Jane Levy
William Levy
Al Lewis
Diana Lewis
Jason Lewis
Joe E. Lewis
Phill Lewis
Robert Q. Lewis
Lil' P-Nut
Lila Leeds
Caryl Lincoln
Audra Lindley
Margaret Lindsay
Cody Linley
Jonathan Lipnicki
Lisa Freeman
Lisa Marie
Lisa Marie Caruk
LL Cool J
Heather Locklear
Gary Lockwood
Philip Loeb
Logan Miller
Jacqueline Logan
Aliana Lohan
Lois Kelso Hunt
Kristanna Loken
Lola Albright
Lola Lane
Julie London
Sally Long
Shelley Long
Gerry López
Mario Lopez
Loren Dean
Lori Alan
Marion Lorne
Louise Lorraine
Trent Lott
Lou Diamond Phillips
Julia Louis-Dreyfus
Anita Louise
Frank Lovejoy
Al Lowe
Edmund Lowe
Rob Lowe
Scott Lowell
Ludacris
Keye Luke
Lydia Lunch
Lucille Lund
Alfred Lunt
Richard Lupino
John Lupton
Alexandra Lydon
David Lynch
Helen Lynch
Carol Lynley
Lynn Mastio Rice
Diana Lynn
Ginger Lynn
Lynsey Bartilson
Barbara Lyon
Ben Lyon
Jesse McCartney
Ralph Macchio
Charlie McDermott
Andie MacDowell
Seth MacFarlane
Justina Machado
Stephen Macht
Joey McIntyre
Hughie Mack
Gardner MacKay
Gavin MacLeod
Robert MacNaughton
Peter MacNicol
Gordon MacRae
Bill Macy
Mae Costello
Roma Maffia
Marjorie Main
Maitland McConnell
Wendy Makkena
Karl Malden
Rosie Malek-Yonan
Ryan Malgarini
Boots Mallory
Leonard Maltin
Anthony Mann
Kim Manning
William Mapother
Marcia Karr
Janet Margolin
Ed Marinaro
Edna Marion
George F. Marion
Marisol Padilla Sánchez
June Marlowe
Mozhan Marnó
Michael C. Maronna
Joan Marsh
Mae Marsh
Marguerite Marsh
Marshall Manesh
E. G. Marshall
Paula Marshall
James Marsters
Vincent Martella
Barney Martin
Steve Martin
A Martinez
Mary Martin
Mary McAllister
Maryam Hassan
Mason Lee
Shirley Mason
Edith Massey
Ilona Massey
Mateus Ward
Samantha Mathis
Melissa Mathison
Marlee Matlin
Matt Doyle
Matthew Giggs
Marilyn Maxwell
Ken Maynard
Kermit Maynard
Whitman Mayo
Monet Mazur
Tom McBride
David McCallum
Thomas McCarthy
Reiley McClendon
Doug McClure
Marc McClure
Gladys McConnell
Mary McCormack
Joel McCrea
Glenn McCuen
Hattie McDaniel
Dylan McDermott
Mary McDonnell
Darren McGavin
Bruce McGill
Patrick McGoohan
Elizabeth McGovern
Dorothy McGuire
Kathryn McGuire
McLean Stevenson
Barbara McNair
Patricia McPherson
Sanford Meisner
George Melford
Adolphe Menjou
Maria Menounos
Jerry Messing
Art Metrano
Jason Mewes
Breckin Meyer
Caitlin E.J. Meyer
Dina Meyer
Michael Cudlitz
Michael Dunn
Michael Kuhn
Michael Sergio
Devon Michaels
Bette Midler
Mike Henry
Alyssa Milano
Christina Milian
Millard Mitchell
Eric Millegan
Diana Miller
Chancellor Miller
Allison Miller
Jason Miller
Patsy Ruth Miller
Hayley Mills
Martin Milner
Nicki Minaj
Hamilton Mitchell
John Cameron Mitchell
Kel Mitchell
Sasha Mitchell
Mo'nique
Matthew Modine
Janel Moloney
Michelle Monaghan
Meredith Monroe
Elizabeth Montgomery
Robert Montgomery
Trevor Moore
Colleen Moore
Mary Tyler Moore
Matthew Moore
Victor Moore
Peggy Moran
Rita Moreno
Toshia Mori
Shelley Morrison
Doretta Morrow
Mos Def
Walter Mosley
Zero Mostel
Tahj Mowry
Megan Mullally
Aimee Mullins
Liliana Mumy
Noah Munck
Frankie Muniz
Audrey Munson
Enrique Murciano
Audie Murphy
Charlie Murphy
George Murphy
Christopher Murray
Mae Murray
Ellen Muth
George Nader
Conrad Nagel
Jack Nance
Jason Narvy
Nathaniel Marston
Nazanin Boniadi
Pola Negri
Marshall Neilan
Barry Nelson
Harriet Nelson
Judd Nelson
Ozzie Nelson
Willie Nelson
Evelyn Nesbit
George Newbern
Haing S. Ngor
Nia Peeples
Nichelle Nichols
Julianne Nicholson
Nick Offerman
Nita Naldi
Stephanie Niznik
Lloyd Nolan
Mabel Normand
Kim Novak
Margaret O'Brien
Judith O'Dea
Matthew O'Leary
Jennifer O'Neill
Annette O'Toole
Warren Oates
Philip Ober
Jerry O'Connell
Donald O'Connor
Molly O'Day
Dennis O'Keefe
Chancellor Olcott
Oliver Adams
Oliver Cooper
Oliver Hudson
Edna May Oliver
Susan Oliver
Chris Olivero
Olivia d'Abo
Tony Oller
Gertrude Olmstead
Kaitlin Olson
William O'Malley
Omarion
Timothy Omundson
Patrice O’Neal
William T. Orr
Leland Orser
Oscar Nuñez
Haley Joel Osment
Peter Ostrum
Rafaela Ottiano
Beverley Owen
Sonia Owens
Jack Paar
Gale Page
Joy Page
Connor Paolo
Paris Smith
Albert Parker
Angel Parker
Paula Jai Parker
Trey Parker
Bert Parks
Larry Parks
Gigi Parrish
Karyn Parsons
Adrian Pasdar
Mandy Patinkin
Patricia Morison
Patrick Heusinger
Scott Patterson
Patti Astor
Patty Duke
Sara Paxton
John Howard Payne
John Payne
Barbara Payton
Khary Payton
Al Pearce
Alice Pearce
Barry Pearl
Jack Pearl
Michael Peck
Penn y Teller
Radames Pera
